Year,win-loss,num wins,num games
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",0,0,0
,"""6-4""",2,2,=C80/D80*100
,"""7-3""",24,26,=C81/D81*100
,"""8-2""",16,25,=C82/D82*100
,"""9-1""",13,18,=C83/D83*100
,"""10-0""",0,0,0
,,,
2010,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",1,1,=C90/D90*100
,"""5-5""",4,5,=C91/D91*100
,"""6-4""",9,13,=C92/D92*100
,"""7-3""",18,25,=C93/D93*100
,"""8-2""",11,18,=C94/D94*100
,"""9-1""",6,7,=C95/D95*100
,"""10-0""",1,2,=C96/D96*100
,,,
2011,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",8,10,=C103/D103*100
,"""6-4""",15,20,=C104/D104*100
,"""7-3""",7,13,=C105/D105*100
,"""8-2""",10,17,=C106/D106*100
,"""9-1""",8,11,=C107/D107*100
,"""10-0""",0,0,0
,,,
2012,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",1,1,=C114/D114*100
,"""5-5""",4,7,=C115/D115*100
,"""6-4""",18,21,=C116/D116*100
,"""7-3""",11,21,=C117/D117*100
,"""8-2""",1,5,=C118/D118*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2013,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",1,3,=C124/D124*100
,"""3-7""",5,9,=C125/D125*100
,"""4-6""",3,5,=C126/D126*100
,"""5-5""",12,16,=C127/D127*100
,"""6-4""",10,23,=C128/D128*100
,"""7-3""",7,12,=C129/D129*100
,"""8-2""",1,3,=C130/D130*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2014,"""0-10""",0,0,0
,"""1-9""",2,5,=C135/D135*100
,"""2-8""",3,13,=C136/D136*100
,"""3-7""",9,33,=C137/D137*100
,"""4-6""",2,7,=C138/D138*100
,"""5-5""",5,8,=C139/D139*100
,"""6-4""",1,5,=C140/D140*100
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2015,"""0-10""",0,0,0
,"""1-9""",4,13,=C147/D147*100
,"""2-8""",5,10,=C148/D148*100
,"""3-7""",8,32,=C149/D149*100
,"""4-6""",3,13,=C150/D150*100
,"""5-5""",0,3,=C151/D151*100
,"""6-4""",0,0,0
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2016,"""0-10""",1,1,=C158/D158*100
,"""1-9""",4,17,=C159/D159*100
,"""2-8""",5,33,=C160/D160*100
,"""3-7""",3,12,=C161/D161*100
,"""4-6""",1,8,=C162/D162*100
,"""5-5""",0,0,0
,"""6-4""",0,0,0
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
