Year,win-loss,num wins,num games
,,,
2009,"""0-10""",0,0,0
,"""1-9""",1,1,=C75/D75*100
,"""2-8""",6,10,=C76/D76*100
,"""3-7""",10,23,=C77/D77*100
,"""4-6""",4,23,=C78/D78*100
,"""5-5""",3,6,=C79/D79*100
,"""6-4""",3,6,=C80/D80*100
,"""7-3""",0,2,=C81/D81*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2010,"""0-10""",0,0,0
,"""1-9""",1,1,=C87/D87*100
,"""2-8""",2,5,=C88/D88*100
,"""3-7""",5,11,=C89/D89*100
,"""4-6""",5,16,=C90/D90*100
,"""5-5""",4,10,=C91/D91*100
,"""6-4""",8,12,=C92/D92*100
,"""7-3""",7,10,=C93/D93*100
,"""8-2""",2,6,=C94/D94*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2011,"""0-10""",1,4,=C98/D98*100
,"""1-9""",2,7,=C99/D99*100
,"""2-8""",6,16,=C100/D100*100
,"""3-7""",7,30,=C101/D101*100
,"""4-6""",2,6,=C102/D102*100
,"""5-5""",1,4,=C103/D103*100
,"""6-4""",1,4,=C104/D104*100
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2012,"""0-10""",0,0,0
,"""1-9""",1,2,=C111/D111*100
,"""2-8""",4,7,=C112/D112*100
,"""3-7""",6,18,=C113/D113*100
,"""4-6""",6,20,=C114/D114*100
,"""5-5""",1,8,=C115/D115*100
,"""6-4""",0,0,0
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2013,"""0-10""",0,0,0
,"""1-9""",1,3,=C123/D123*100
,"""2-8""",3,4,=C124/D124*100
,"""3-7""",10,27,=C125/D125*100
,"""4-6""",7,14,=C126/D126*100
,"""5-5""",4,8,=C127/D127*100
,"""6-4""",3,8,=C128/D128*100
,"""7-3""",3,5,=C129/D129*100
,"""8-2""",0,2,=C130/D130*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2014,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",4,6,=C137/D137*100
,"""4-6""",3,9,=C138/D138*100
,"""5-5""",6,7,=C139/D139*100
,"""6-4""",16,24,=C140/D140*100
,"""7-3""",12,17,=C141/D141*100
,"""8-2""",3,8,=C142/D142*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2015,"""0-10""",0,0,0
,"""1-9""",1,1,=C147/D147*100
,"""2-8""",1,3,=C148/D148*100
,"""3-7""",3,5,=C149/D149*100
,"""4-6""",5,12,=C150/D150*100
,"""5-5""",5,8,=C151/D151*100
,"""6-4""",8,13,=C152/D152*100
,"""7-3""",8,13,=C153/D153*100
,"""8-2""",7,13,=C154/D154*100
,"""9-1""",2,3,=C155/D155*100
,"""10-0""",0,0,0
,,,
2016,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",3,3,=C162/D162*100
,"""5-5""",5,8,=C163/D163*100
,"""6-4""",7,13,=C164/D164*100
,"""7-3""",11,15,=C165/D165*100
,"""8-2""",3,4,=C166/D166*100
,"""9-1""",4,5,=C167/D167*100
,"""10-0""",1,2,=C168/D168*100
,,,
