Year,win-loss,num wins,num games
,,,
2009,"""0-10""",0,0,0
,"""1-9""",2,2,=C75/D75*100
,"""2-8""",3,10,=C76/D76*100
,"""3-7""",10,22,=C77/D77*100
,"""4-6""",6,20,=C78/D78*100
,"""5-5""",3,14,=C79/D79*100
,"""6-4""",0,2,=C80/D80*100
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2010,"""0-10""",0,0,0
,"""1-9""",3,7,=C87/D87*100
,"""2-8""",6,20,=C88/D88*100
,"""3-7""",6,18,=C89/D89*100
,"""4-6""",6,22,=C90/D90*100
,"""5-5""",1,3,=C91/D91*100
,"""6-4""",0,1,=C92/D92*100
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2011,"""0-10""",0,0,0
,"""1-9""",2,5,=C99/D99*100
,"""2-8""",2,7,=C100/D100*100
,"""3-7""",7,12,=C101/D101*100
,"""4-6""",6,15,=C102/D102*100
,"""5-5""",8,18,=C103/D103*100
,"""6-4""",4,12,=C104/D104*100
,"""7-3""",0,2,=C105/D105*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2012,"""0-10""",0,0,0
,"""1-9""",1,1,=C111/D111*100
,"""2-8""",2,13,=C112/D112*100
,"""3-7""",3,10,=C113/D113*100
,"""4-6""",8,12,=C114/D114*100
,"""5-5""",5,14,=C115/D115*100
,"""6-4""",1,5,=C116/D116*100
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2013,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",1,4,=C125/D125*100
,"""4-6""",8,13,=C126/D126*100
,"""5-5""",9,14,=C127/D127*100
,"""6-4""",8,15,=C128/D128*100
,"""7-3""",11,18,=C129/D129*100
,"""8-2""",4,7,=C130/D130*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2014,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",6,7,=C138/D138*100
,"""5-5""",11,21,=C139/D139*100
,"""6-4""",10,14,=C140/D140*100
,"""7-3""",10,18,=C141/D141*100
,"""8-2""",3,6,=C142/D142*100
,"""9-1""",3,4,=C143/D143*100
,"""10-0""",0,1,=C144/D144*100
,,,
2015,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",0,0,0
,"""6-4""",0,0,0
,"""7-3""",22,24,=C153/D153*100
,"""8-2""",15,21,=C154/D154*100
,"""9-1""",13,16,=C155/D155*100
,"""10-0""",8,10,=C156/D156*100
,,,
2016,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",0,0,0
,"""6-4""",0,0,0
,"""7-3""",0,0,0
,"""8-2""",15,16,=C166/D166*100
,"""9-1""",18,21,=C167/D167*100
,"""10-0""",15,17,=C168/D168*100
,,,
